Customer ID,TotalOrders,TotalItemsPurchased,TotalRevenue,AverageBasketSize,PurchaseFrequency,LastPurchaseGap,CustomerActivityStatus
12346.0,12,74285,77556.46,6190.416666666667,0.8999999999999999,325,Churned
12347.0,8,2967,4921.53,370.875,0.5970149253731343,1,Active
12348.0,5,2714,2019.3999999999999,542.8,0.4143646408839779,74,Active
12349.0,4,1624,4428.69,406.0,0.21052631578947367,18,Active
12350.0,1,197,334.4,197.0,1.0,309,Churned
12351.0,1,261,300.93,261.0,1.0,374,Churned
12352.0,10,724,2849.84,72.4,0.8426966292134831,35,Active
12353.0,2,212,406.76,106.0,0.29411764705882354,203,Churned
12354.0,1,530,1079.4,530.0,1.0,231,Churned
12355.0,2,543,947.61,271.5,0.16997167138810196,213,Churned
12356.0,6,3416,6371.73,569.3333333333334,0.44887780548628425,22,Active
12357.0,3,6587,18287.66,2195.6666666666665,0.2535211267605634,32,Active
12358.0,5,1079,3887.07,215.8,0.20547945205479454,1,Active
12359.0,10,2739,8873.39,273.9,0.4437869822485207,57,Active
12360.0,8,2459,4252.89,307.375,0.3980099502487562,51,Active
12361.0,4,235,511.25,58.75,0.30456852791878175,286,Churned
12362.0,11,2230,5356.2300000000005,202.72727272727272,0.4489795918367347,2,Active
12363.0,2,408,552.0,204.0,0.45454545454545453,109,Churned
12364.0,4,1506,1313.1,376.5,1.1538461538461537,7,Active
12365.0,2,174,641.38,87.0,2.0,290,Churned
12366.0,1,296,500.24,296.0,1.0,633,Churned
12367.0,1,173,168.9,173.0,1.0,3,Active
12368.0,1,330,917.7,330.0,1.0,627,Churned
12369.0,3,1241,1791.15,413.6666666666667,0.39473684210526316,412,Churned
12370.0,7,2604,4316.56,372.0,0.34035656401944897,50,Active
12371.0,5,1436,4067.38,287.2,0.25,44,Active
12372.0,3,794,1298.04,264.6666666666667,0.4017857142857143,71,Active
12373.0,3,516,1127.65,172.0,0.24861878453038674,310,Churned
12374.0,4,1362,2989.2200000000003,340.5,0.21314387211367675,24,Active
12375.0,2,178,457.5,89.0,0.6896551724137931,10,Active
12376.0,2,240,503.15,120.0,2.0,389,Churned
12377.0,4,2105,3426.32,526.25,0.43795620437956206,314,Churned
12378.0,2,3316,5416.32,1658.0,0.1388888888888889,129,Churned
12379.0,4,815,1620.22,203.75,0.26548672566371684,81,Active
12380.0,11,3355,9676.3,305.0,0.515625,21,Active
12381.0,5,808,1845.31,161.6,1.3043478260869565,4,Active
12383.0,5,1532,1850.56,306.4,0.8982035928143713,184,Churned
12384.0,2,126,585.27,63.0,0.6521739130434783,28,Active
12385.0,1,612,1938.4,612.0,1.0,378,Churned
12386.0,2,354,401.9,177.0,2.0,337,Churned
12387.0,1,134,143.94,134.0,1.0,414,Churned
12388.0,8,2001,3901.11,250.125,0.42402826855123676,15,Active
12389.0,3,614,1433.33,204.66666666666666,0.3557312252964427,402,Churned
12390.0,1,353,549.84,353.0,1.0,79,Active
12391.0,6,1204,2724.84,200.66666666666666,0.28081123244929795,21,Active
12392.0,1,73,234.75000000000003,73.0,1.0,590,Churned
12393.0,6,1311,2399.45,218.5,0.5056179775280899,71,Active
12394.0,2,819,1272.48,409.5,0.3921568627450981,63,Active
12395.0,15,3205,4721.17,213.66666666666666,0.7718696397941681,18,Active
12396.0,1,591,931.43,591.0,1.0,673,Churned
12397.0,2,1263,2409.9,631.5,0.6060606060606061,35,Active
12398.0,1,1394,1635.6599999999999,1394.0,1.0,45,Active
12399.0,7,2198,1962.3,314.0,0.4,118,Churned
12400.0,1,91,205.25,91.0,1.0,413,Churned
12401.0,1,11,84.3,11.0,1.0,302,Churned
12402.0,6,584,1256.9,97.33333333333333,0.5187319884726225,322,Churned
12403.0,2,260,1019.36,130.0,0.12738853503184713,49,Active
12404.0,1,1,63.24,1.0,1.0,681,Churned
12405.0,1,857,1710.39,857.0,1.0,148,Churned
12406.0,5,3416,6390.36,683.2,0.2222222222222222,21,Active
12407.0,5,1416,1708.12,283.2,0.7009345794392523,49,Active
12408.0,8,2229,4340.77,278.625,0.5161290322580645,32,Active
12409.0,7,13143,23419.29,1877.5714285714287,0.4320987654320988,78,Active
12410.0,3,341,1013.71,113.66666666666667,0.46632124352331605,308,Churned
12411.0,1,138,346.9,138.0,1.0,409,Churned
12412.0,6,1997,2596.93,332.8333333333333,0.3879310344827586,74,Active
12413.0,4,319,999.45,79.75,0.35820895522388063,66,Active
12414.0,6,495,952.41,82.5,0.7317073170731708,216,Churned
12415.0,28,91447,144458.37,3265.964285714286,1.6699801192842942,23,Active
12416.0,1,132,202.56,132.0,1.0,656,Churned
12417.0,20,2884,6797.41,144.2,0.8219178082191781,2,Active
12418.0,4,1088,2021.2,272.0,0.23210831721470018,112,Churned
12419.0,2,231,503.01,115.5,2.0,385,Churned
12420.0,1,345,600.39,345.0,1.0,63,Active
