CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,12,77556.46,2,VIP
12347.0,1,8,4921.53,3,Loyal
12348.0,74,5,2019.4,3,Loyal
12349.0,18,4,4428.69,3,Loyal
12350.0,309,1,334.4,1,Low-Value
12351.0,374,1,300.93,1,Low-Value
12352.0,35,10,2849.84,3,Loyal
12353.0,203,2,406.76,0,At-Risk
12354.0,231,1,1079.4,0,At-Risk
12355.0,213,2,947.61,0,At-Risk
12356.0,22,6,6371.73,3,Loyal
12357.0,32,3,18287.66,3,Loyal
12358.0,1,5,3887.07,3,Loyal
12359.0,57,10,8873.39,2,VIP
12360.0,51,8,4252.89,3,Loyal
12361.0,286,4,511.25,0,At-Risk
12362.0,2,11,5356.2300000000005,2,VIP
12363.0,109,2,552.0,0,At-Risk
12364.0,7,4,1313.1,3,Loyal
12365.0,290,2,641.38,0,At-Risk
12366.0,633,1,500.24,1,Low-Value
12367.0,3,1,168.9,0,At-Risk
12368.0,627,1,917.7,1,Low-Value
12369.0,412,3,1791.15,1,Low-Value
12370.0,50,7,4316.56,3,Loyal
12371.0,44,5,4067.38,3,Loyal
12372.0,71,3,1298.04,3,Loyal
12373.0,310,3,1127.65,3,Loyal
12374.0,24,4,2989.2200000000003,3,Loyal
12375.0,10,2,457.5,0,At-Risk
12376.0,389,2,503.15,1,Low-Value
12377.0,314,4,3426.32,3,Loyal
12378.0,129,2,5416.32,3,Loyal
12379.0,81,4,1620.22,3,Loyal
12380.0,21,11,9676.3,2,VIP
12381.0,4,5,1845.31,3,Loyal
12383.0,184,5,1850.56,3,Loyal
12384.0,28,2,585.27,0,At-Risk
12385.0,378,1,1938.4,1,Low-Value
12386.0,337,2,401.9,1,Low-Value
12387.0,414,1,143.94,1,Low-Value
12388.0,15,8,3901.11,3,Loyal
12389.0,402,3,1433.33,1,Low-Value
12390.0,79,1,549.84,0,At-Risk
12391.0,21,6,2724.84,3,Loyal
12392.0,590,1,234.75000000000003,1,Low-Value
12393.0,71,6,2399.45,3,Loyal
12394.0,63,2,1272.48,0,At-Risk
12395.0,18,15,4721.17,2,VIP
12396.0,673,1,931.43,1,Low-Value
12397.0,35,2,2409.9,3,Loyal
12398.0,45,1,1635.66,0,At-Risk
12399.0,118,7,1962.3,3,Loyal
12400.0,413,1,205.25,1,Low-Value
12401.0,302,1,84.3,1,Low-Value
12402.0,322,6,1256.9,3,Loyal
12403.0,49,2,1019.36,0,At-Risk
12404.0,681,1,63.24,1,Low-Value
