StockCode,Description,ProductRevenue,ProductDemandFrequency
22423,Regency Cakestand 3 Tier,277656.25,3317
85123A,White Hanging Heart T-Light Holder,247203.36000000002,4895
23843,"Paper Craft , Little Birdie",168469.6,1
85099B,Jumbo Bag Red White Spotty,167920.64,3260
M,Manual,151777.67,620
POST,Postage,124648.04,1803
84879,Assorted Colour Bird Ornament,124351.86,2652
47566,Party Bunting,103283.38,2077
23166,Medium Ceramic Top Storage Jar,81416.73000000001,195
22086,Paper Chain Kit 50'S Christmas,76598.18000000001,1691
79321,Chilli Lights,69084.3,922
22386,Jumbo Bag Pink With White Spots,67769.76,1767
48138,Door Mat Union Flag,64269.95,1511
85099F,Jumbo Bag Strawberry,64127.77,1514
21137,Black Record Cover Frame,63092.12,539
20685,Red Spotty Coir Doormat,60546.64,1478
20725,Lunch Bag Red Spotty,59375.1,2579
22197,"Popcorn Holder , Small",58267.74,1752
21843,Retro Spot Cake Stand,57946.189999999995,1279
84347,Rotating Silver Angels T-Light Hldr,55880.17,525
22502,Picnic Basket Wicker Small,54565.1,568
82484,Wood Black Board Ant White Finish,54525.36,1048
21621,Vintage Union Jack Bunting,54432.62,1121
15056N,Edwardian Parasol Natural,54332.61,863
85099C,Jumbo  Bag Baroque Black White,52188.18,1449
23084,Rabbit Night Light,51251.24,801
20914,Set/5 Red Spotty Lid Glass Bowls,50195.33,1790
22470,Heart Of Wicker Large,49859.5,1743
21733,Red Hanging Heart T-Light Holder,48850.6,1631
21181,Please One Person  Metal Sign,47835.3,1549
21931,Jumbo Storage Bag Suki,47760.99,1714
22139,Retro Spot Tea Set Ceramic 11 Pc,47531.450000000004,1838
22189,Cream Heart Card Holder,47414.200000000004,1129
15056BL,Edwardian Parasol Black,45885.07,788
22178,Victorian Glass Hanging T-Light,45746.75,1442
22112,Chocolate Hot Water Bottle,45601.340000000004,1447
22411,Jumbo Shopper Vintage Red Paisley,45059.13,1680
22910,Paper Chain Kit Vintage Christmas,44998.270000000004,1233
21623,Vintage Union Jack Memoboard,44785.83,499
48194,Doormat Hearts,44784.46,1138
48187,Door Mat New England,43982.29,1151
21212,Pack Of 72 Retro Spot Cake Cases,43390.03,2508
22469,Heart Of Wicker Small,43316.53999999999,1779
21929,Jumbo Bag Pink Vintage Paisley,43313.9,1228
71477,Colour Glass. Star T-Light Holder,43297.22,686
22138,Baking Set 9 Piece Retrospot,43070.91,1742
22111,Scottie Dog Hot Water Bottle,42463.200000000004,1457
21754,Home Building Block Word,42453.11,1831
21175,Gin + Tonic Diet Metal Sign,42059.240000000005,1422
21731,Red Toadstool Led Night Light,41824.259999999995,1043
22090,Paper Bunting Retro Spots,41656.490000000005,1265
21928,Jumbo Bag Scandinavian Paisley,41473.83,1172
21232,Strawberry Ceramic Trinket Box,40994.71,1893
21523,Fancy Font Home Sweet Home Doormat,40929.840000000004,893
22326,"Round Snack Boxes ,Set4, Woodland",40414.520000000004,1147
22457,Natural Slate Heart Chalkboard,40276.170000000006,1637
82494L,Wooden Frame Antique White,39909.170000000006,1773
20727,Lunch Bag  Black Skull.,39904.0,1997
21915,Red  Harmonica In Box,39870.65,884
48185,Door Mat Fairy Cake,39464.68,736
84997D,Pink 3 Piece Mini Dots Cutlery Set,38082.82,992
22383,Lunchbag Suki  Design,38007.55,2004
23203,Jumbo Bag Doiley Patterns,37646.94,1080
21166,Cook With Wine Metal Sign,37029.340000000004,1225
82482,Wooden Picture Frame White Finish,37011.100000000006,1658
84946,Antique Silver Tea Glass Etched,36716.86,1323
20728,Lunch Bag Cars Blue,36644.28,1797
82486,Wood S/3 Cabinet Ant White Finish,36487.88,1188
84078A,Set/4 White Retro Storage Cubes,36259.65,234
22629,Spaceboy Lunch Box,36150.99,1108
23298,Spotty Bunting,36144.25,1009
23284,Doormat Keep Calm And Come In,35880.85,648
85066,Cream Sweetheart Mini Chest,35264.729999999996,809
22083,Paper Chain Kit Retro Spot,35216.41,1075
20713,Jumbo Bag Owls,35162.42,920
22114,Hot Water Bottle Tea And Sympathy,34479.62,1298
21485,Red Spot Heart Hot Water Bottle,34116.63,1225
22328,"Round Snack Boxes ,Set 4, Fruits",33918.04,990
22960,Jam Making Set With Jars,33833.72,903
22720,Set Of 3 Cake Tins Pantry Design,33298.3,1146
21524,Spotty  Home Sweet Home Doormat,33122.69,1000
22699,Roses Regency Teacup And Saucer,33037.350000000006,1070
20726,Lunch Bag Woodland,33004.76,1585
84997B,Red 3 Piece Mini Dots Cutlery Set,32788.13,932
22384,Lunchbag Pink Retrospot,32293.95,1845
84029E,Red Woolly Hottie White Heart.,31876.47,956
21755,Love Building Block Word,31590.41,1485
84997C,Blue 3 Piece Mini Dots Cutlery Set,31521.77,883
22382,Lunchbag Spaceboy Design,31154.3,1919
22630,Dolly Girl Lunch Box,30921.64,998
22727,Alarm Clock Bakelike Red,30703.09,1144
85152,Hand Over The Chocolate   Sign,30615.93,1300
22385,Jumbo Bag Spaceboy Design,29810.15,971
48184,Door Mat English Rose,29642.23,755
85014B,Red/White Dots Ruffled Umbrella,29235.27,794
20712,Jumbo Bag Woodland Animals,29105.5,915
15036,Assorted Colours Silk Fan,28766.32,634
47590B,Pink Happy Birthday Bunting,28581.4,810
20679,Edwardian Parasol Red,28557.920000000002,622
82483,Wood 2 Drawer Cabinet White Finish,27952.22,1053
22379,Recycling Bag Retrospot,27893.78,1013
22865,Hand Warmer Owl Design,27514.63,1058
22188,Black Heart Card Holder,27324.45,487
22622,Box Of Vintage Alphabet Blocks,27251.26,511
22666,Recipe Box Pantry Yellow Design,27222.52,1277
22077,6 Ribbons Rustic Charm,27031.039999999997,1361
48188,Door Mat Welcome Puppies,27013.77,597
22492,Mini Paint Set Vintage,26614.79,635
22659,Lunchbox I Love London,26598.67,764
23245,Set Of 3 Regency Cake Tins,26566.280000000002,718
23199,Jumbo Bag Apples,26426.3,718
21977,Pack Of 60 Pink Paisley Cake Cases,26407.35,1578
22467,Gumball Coat Rack,26149.13,928
20750,Red/White Dot Mini Cases,25936.48,867
72741,Grand Chocolatecandle,25895.4,823
84991,60 Teatime Fairy Cake Cases,25785.92,1765
22752,Set 7 Babushka Nesting Boxes,25620.99,577
21217,Red Spotty Round Cake Tins,25441.85,768
22726,Alarm Clock Bakelike Green,24898.96,1041
71459,Hanging Jam Jar T-Light Holder,24673.32,884
82600,No Singing Metal Sign,24620.820000000003,1005
23355,Hot Water Bottle Keep Calm,24302.55,719
47566B,Tea Time Party Bunting,24255.3,655
22149,Feltcraft 6 Flower Friends,24248.29,1189
23201,Jumbo Bag Alphabet,24160.44,752
22624,Ivory Kitchen Scales,24137.48,1065
84077,World War 2 Gliders Asstd Designs,24098.03,920
22697,Green Regency Teacup And Saucer,23979.74,946
20972,Pink Cream Felt Craft Trinket Box,23812.52,1224
37503,Tea Time Cake Stand In Gift Box,23784.8,465
84755,Colour Glass T-Light Holder Hanging,23598.510000000002,1100
20971,Pink Blue Felt Craft Trinket Box,23554.3,1003
47590A,Blue Happy Birthday Bunting,23531.47,633
22866,Hand Warmer Scotty Dog Design,23436.660000000003,939
48111,Door Mat 3 Smiley Cats,23414.47,572
84836,Zinc Metal Heart Decoration,23331.43,1244
21108,Fairy Cake Flannel Assorted Colour,23322.62,408
22551,Plasters In Tin Spaceboy,23194.949999999997,1156
22507,Memo Board Retrospot  Design,23083.44,737
22084,Paper Chain Kit Empire,23049.95,704
21527,Retro Spot Traditional Teapot,23041.74,729
23173,Regency Teapot Roses,23033.52,354
82583,Hot Baths Metal Sign,23010.120000000003,820
21930,Jumbo Storage Bag Skulls,22795.28,997
48173C,Door Mat Black Flock,22541.26,460
21080,Set/20 Red Spotty Paper Napkins,22539.48,1671
22158,3 Hearts Hanging Decoration Rustic,22471.86,646
22961,Jam Making Set Printed,22328.95,903
22867,Hand Warmer Bird Design,22168.33,907
23243,Set Of Tea Coffee Sugar Tins Pantry,22109.079999999998,385
84978,Hanging Heart Jar T-Light Holder,22079.739999999998,1087
21231,Sweetheart Ceramic Trinket Box,21793.25,1171
21481,Fawn Blue Hot Water Bottle,21779.5,834
22734,Set Of 6 Ribbons Vintage Christmas,21490.170000000002,599
22171,3 Hook Photo Shelf Antique White,21458.42,544
22835,Hot Water Bottle I Am So Poorly,21398.28,815
22728,Alarm Clock Bakelike Pink,21369.98,772
22087,Paper Bunting White Lace,21336.350000000002,663
84406B,Cream Cupid Hearts Coat Hanger,21256.0,724
85014A,Black/Blue Dots Ruffled Umbrella,21174.690000000002,640
20749,Assorted Colour Mini Cases,21169.64,726
21955,Union Jack Guns & Roses  Doormat,21078.23,576
22607,Wooden Rounders Garden Set,20978.47,643
22113,Grey Heart Hot Water Bottle,20977.78,913
22556,Plasters In Tin Circus Parade,20950.159999999996,1100
23202,Jumbo Bag Vintage Leaf,20921.55,772
84029G,Knitted Union Flag Hot Water Bottle,20838.9,758
22605,Wooden Croquet Garden Set,20813.809999999998,548
23209,Lunch Bag Doiley Pattern,20786.21,1006
22698,Pink Regency Teacup And Saucer,20713.640000000003,755
21210,Set Of 72 Retro Spot Paper  Doilies,20600.32,931
21314,Small Glass Heart Trinket Pot,20588.260000000002,711
22722,Set Of 6 Spice Tins Pantry Design,20506.300000000003,654
20724,Red Spotty Charlotte Bag,20503.2,1495
22554,Plasters In Tin Woodland Animals,20471.679999999997,1097
21936,Red/White Spot Picnic Bag,20437.41,783
20711,Jumbo Bag Toys,20283.78,671
22969,Homemade Jam Scented Candles,20204.8,577
37449,Ceramic Cake Stand + Hanging Cakes,20204.579999999998,410
22632,Hand Warmer Red Polka Dot,20148.72,721
21790,Vintage Snap Cards,19957.34,1480
22585,Pack Of 6 Birdy Gift Tags,19950.85,950
84970S,Hanging Heart Zinc T-Light Holder,19821.96,1141
22617,Baking Set Spaceboy Design,19719.21,883
22294,Heart Filigree Dove  Small,19686.6,707
22941,Christmas Lights 10 Reindeer,19590.9,406
22273,Feltcraft Doll Molly,19332.93,701
22570,Feltcraft Cushion Rabbit,19282.55,677
22625,Red Kitchen Scales,19149.63,781
21791,Vintage Heads And Tails Card Game,19147.65,1050
22568,Feltcraft Cushion Owl,19128.13,771
22569,Feltcraft Cushion Butterfly,18865.21,679
22413,Metal Sign Take It Or Leave It,18863.02,766
85150,Ladies & Gentlemen Metal Sign,18847.98,889
84997A,Green 3 Piece Mini Dots Cutlery Set,18834.65,544
48116,Door Mat Multicolour Stripe,18811.91,385
