ds,yhat,yhat_lower,yhat_upper
2011-12-10,9652.897906337157,-3696.198385723258,23363.50063216719
2011-12-11,25579.373829353135,11254.453319165641,39246.83232267523
2011-12-12,33188.90197602228,19837.945972009038,46144.75147703277
2011-12-13,36731.16264584184,22951.33119875688,49398.37685840031
2011-12-14,31154.282381672096,17410.876017263454,44587.3545393116
2011-12-15,37024.09551573681,23065.384661240354,49227.15245245933
2011-12-16,23324.1630355879,9891.725830793988,36795.80202359533
2011-12-17,-4252.648137488369,-16736.98106745222,9823.544703082789
2011-12-18,11483.68056920694,-1972.2611183019962,24880.669012611885
2011-12-19,19073.204597759075,5657.841357588877,32862.23030162446
2011-12-20,22781.8346500285,9016.420151452967,36653.17286260928
2011-12-21,17550.041504248213,4449.010096690376,31180.419324786948
2011-12-22,23986.202913276273,10793.645264130624,37374.75681549223
2011-12-23,11002.393128405494,-2938.0615846509713,24239.3433599779
2011-12-24,-15706.248989109716,-28394.466996520627,-2266.396226841513
2011-12-25,1157.7616255652213,-12197.483074166581,14690.281207916374
2011-12-26,10007.180512938834,-3421.4115238535983,23791.401274029573
2011-12-27,15095.479831340192,1185.8940734489722,28700.65335689973
2011-12-28,11327.78219413706,-3200.564599033231,25428.0807675052
2011-12-29,19329.009059194334,6664.233980485065,32566.441107476723
2011-12-30,7916.123080974758,-6003.969372958863,21116.854715048365
2011-12-31,-17234.085498658776,-30524.353719030307,-4201.886292013571
2012-01-01,1266.277857947734,-12436.831221982951,13967.89258524671
2012-01-02,11689.648610366763,-1304.7890658886117,25521.054791544386
2012-01-03,18268.450879293356,4241.085441373606,31962.51290334409
2012-01-04,15868.523771691145,1739.5241369508717,28914.94414161314
2012-01-05,25132.216351747422,11682.3979102889,38836.29996048829
2012-01-06,14787.104688590078,1291.8914054470085,28203.36608605479
2012-01-07,-9497.906357836875,-22598.390569464314,3018.8305063492426
2012-01-08,9770.462890350685,-4179.135682249357,23065.013372132893
